wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,mel_mean,mel_std
Ses03M_script01_1_M041,0,0.006474198,0.011576119,0.00814307,0.008221755,0.3769045709703288,-0.0060382240008038,0.0057067107445793,0.17146085153582,-508.2855,72.67769,165.60287,42.048073,-14.002273,36.850796,13.769331,22.503359,23.688948,21.723555,-12.483028,21.961056,3.4546587,18.029167,7.052148,11.068596,-4.75005,11.776216,-1.4845784,11.727341,-5.077634,9.325657,-1.84971,8.501716,0.7094518,8.92701,-59.464077,18.06782
Ses03M_impro08a_F015,0,0.004434589,0.007980217,0.005630083,0.0056399866,0.2540792540792541,-0.0063923657762643,0.0026535626120045,0.0317870798379217,-526.74133,50.54999,180.9729,30.308367,-36.93404,29.820168,3.8777611,26.988716,31.746637,19.057693,-9.350452,17.168997,1.8984685,16.17795,1.5149211,13.919705,-11.486756,10.756364,3.1447167,11.220992,1.2869773,10.7099905,-5.9566126,8.619674,-0.7168955,8.604849,-56.393494,18.70178
Ses01M_script01_1_F043,0,0.005069962,0.010923491,0.006501168,0.008763428,0.4301470588235294,-0.0053653643590223,0.0032316334302417,0.027440089352805,-525.5743,46.79607,196.16002,29.73461,-18.103865,19.301579,12.486107,16.296406,28.058916,10.180504,-8.708944,8.536251,11.950631,7.1215577,9.1455345,7.804241,-6.7013164,5.3130603,8.334216,6.2321944,0.8996391,8.470079,-5.136217,7.127219,9.091336,4.8318787,-55.751205,18.896433
Ses04M_script02_1_F003,0,0.007263741,0.012857475,0.009005545,0.009171808,0.4725738396624472,-0.0070558990046265,0.0069637830973573,0.0375149218114446,-532.8675,79.98516,173.82767,40.446465,-14.638607,42.31342,16.052845,23.514177,23.600937,16.002522,-11.068242,17.604956,9.530196,15.729216,3.6217527,12.418183,-13.67383,13.467929,0.16038835,11.664158,-1.24172,8.914166,-4.3763804,7.1644063,1.2331684,6.982251,-58.29238,18.970537
Ses03F_script01_2_F016,0,0.024395252,0.045937102,0.030624304,0.034188814,0.3636363636363636,-0.0075125335570191,0.0780025295396781,1.4518251355659466,-395.22183,75.51095,125.88549,41.544994,-35.04112,42.37513,0.20109789,28.53414,14.841332,19.112131,-23.370789,20.247282,-10.987625,15.970171,-1.9395894,11.372419,-10.509469,10.945455,-6.3717422,12.906025,-4.9280896,10.633655,-1.9720268,10.300232,-1.2581396,10.532671,-62.78817,16.444565
Ses04F_impro08_M022,0,0.011344944,0.020972399,0.0138942385,0.01565302,0.5098039215686274,-0.0092994660008116,0.016932664476385,0.1380755417699293,-480.00735,70.448586,143.60555,37.651485,-24.592142,34.514774,23.220385,24.99939,44.7814,27.966612,0.57056946,12.725722,0.22222039,21.110386,-1.0368106,13.958912,-4.7133474,12.061669,1.8264233,10.616214,-8.864625,11.382169,-5.0139713,12.202775,5.3456106,9.926456,-60.916943,16.963442
Ses05F_impro08_M005,0,0.016408773,0.025567235,0.020726068,0.014953038,0.1773399014778325,-0.0033205114959855,0.036962469420315,0.5565511903211366,-402.47025,50.858807,166.7686,32.071728,-27.02618,28.242128,8.97835,24.049261,27.203087,24.221395,-15.200541,22.457129,-1.9138447,18.239664,1.3530891,10.758652,-12.950528,14.108445,-3.3117352,12.851474,-4.8985853,13.749057,-7.8996253,9.33666,-1.410042,10.216764,-58.5873,17.792978
Ses03M_script02_2_M029,0,0.010371837,0.021016764,0.013174552,0.016366951,0.331002331002331,-0.0041670041355246,0.0143891376988359,0.3174142157329929,-451.96487,69.57322,145.78535,42.801517,-21.22306,34.4559,13.075418,24.42193,33.40447,24.002712,-8.631704,21.607224,-3.8358693,17.85182,5.4464145,11.432011,-5.451756,13.35747,-7.3329496,12.43597,-6.790558,11.160647,-1.9802129,9.541505,-0.78565836,9.570878,-61.433937,16.835194
Ses01F_script03_2_M024,0,0.058604933,0.09315416,0.07238221,0.058581743,0.3202911737943585,-0.0047321786951215,0.4705676066584327,11.144141890024432,-317.08463,60.13428,172.58038,39.539368,-36.058662,34.171062,4.400249,27.72161,26.357601,20.337145,-13.997858,17.74746,-1.3214406,19.681751,1.7454231,11.089734,-8.511706,12.825989,-5.3640656,13.488844,-10.551075,12.602953,-4.626383,10.122496,-1.0657511,11.725053,-57.25917,18.90665
Ses04M_script02_2_F028,0,0.018651662,0.032038078,0.023677818,0.021474436,0.29973474801061,-0.0085903839135426,0.0470826061489887,0.4517827193187548,-403.4742,58.310543,162.6348,36.427086,-56.831596,37.674614,19.7563,28.300472,31.490503,28.423498,-25.246296,21.29957,2.5035362,22.0523,-1.1605811,13.182186,-18.789642,11.630502,-0.6193959,13.710196,-7.784312,9.097513,-11.21685,6.9161334,-1.5156642,8.199506,-55.698036,18.910185
Ses04M_script01_2_F004,0,0.0035413348,0.0064490447,0.0043452,0.0047578653,0.5795918367346938,-0.0097948532129521,0.0016420657511489,0.0121904299455159,-585.14874,52.3843,173.58667,28.713957,4.6069593,27.333038,9.881468,15.384343,27.346424,11.344591,0.67537916,12.669013,7.4578376,7.8907356,6.6064754,11.184324,-11.226104,10.259325,-0.8926685,9.594498,6.7169094,8.905128,-1.824018,5.9751344,-0.06538621,6.3923297,-60.555565,17.339663
Ses01M_script01_2_F011,0,0.06590376,0.11604473,0.08169447,0.082379535,0.358830146231721,0.1932080340338871,0.5794117071707922,14.542897806204314,-288.35562,72.29338,152.70287,38.583366,-27.569403,41.10533,0.3158268,25.42655,20.581352,19.797808,-14.002122,24.268824,-3.6784353,16.420292,2.0428784,11.951135,-9.072597,9.965813,-3.7528586,13.288157,-2.6651752,10.886735,-5.0100884,10.359472,-3.4117858,9.871512,-60.46171,17.59793
Ses03M_impro08a_F022,0,0.0037620699,0.0057508224,0.00474638,0.0032168562,0.1290322580645161,-0.0058933933360094,0.0020849750128995,0.0095011532427194,-557.3053,56.571236,220.72446,32.255676,-35.62983,27.43782,14.393878,22.055151,33.875435,14.056817,-12.995481,15.730591,9.575334,16.054556,3.743676,10.134208,-13.05295,8.936044,2.3245304,11.685189,-6.416568,8.431289,-7.3228793,8.179333,5.806818,7.534543,-51.249554,21.721777
Ses02M_script03_2_F040,0,0.018030353,0.026943436,0.022609565,0.014530468,0.1933701657458563,-0.0004840982796849,0.0462844012827645,0.2021283641342869,-401.36905,54.1797,201.40729,30.307343,-58.181736,32.253086,13.336059,19.517788,20.050009,24.472322,-24.530962,20.945066,11.110844,16.731674,-3.9265156,11.684321,-10.436195,7.924878,9.458512,13.528098,-14.942096,9.496941,-5.69523,9.279601,8.615892,8.039695,-51.03809,21.079323
Ses01F_impro05_F026,0,0.009053263,0.017467381,0.011492186,0.013074766,0.5736434108527132,-0.0031568554277328,0.0106783859988694,0.0410682439958769,-460.44138,60.98856,184.61319,29.027012,-47.08685,28.538237,20.36754,16.072336,33.046627,12.11204,-16.494007,12.878902,10.845655,13.9591465,-0.39531028,11.333687,-15.118041,14.226945,10.538033,8.0068655,-0.42826146,7.524143,-5.9688625,6.9696956,7.027362,7.509882,-54.068604,19.193415
Ses02F_script03_2_F036,0,0.016097076,0.024993008,0.020336058,0.014199685,0.2542857142857143,0.0002027017984573,0.0360410210324755,0.3068281584472106,-410.9917,46.060276,182.2824,31.265701,-53.243958,30.657211,2.2090688,27.871069,19.600412,19.51042,-24.630182,19.720757,4.9781427,14.122688,2.7974875,11.515761,-15.841801,8.81617,-0.24353881,11.22327,-5.9584384,10.842567,-8.704586,10.635215,-0.4047775,10.071321,-54.562366,19.315805
Ses05M_script01_1_M032,0,0.007940565,0.016278794,0.010129306,0.012739863,0.5019230769230769,-0.0068588660724344,0.0081860229962032,0.2790442368180664,-503.9602,76.96843,159.26227,44.243126,0.790309,33.462997,11.223994,21.03416,28.14591,21.192377,-1.1027248,16.982843,1.1282228,12.880979,3.2809632,8.322959,-6.87814,12.320924,-2.8257458,12.323886,-0.5202329,9.605007,1.929781,8.447682,7.0272007,9.82655,-61.79641,17.494116
Ses05M_script03_2_F018,0,0.008804488,0.015667137,0.010912947,0.011213808,0.4227642276422764,-0.0096807680165511,0.0103380885101235,0.0568186004218439,-485.71152,69.30891,162.2532,39.29333,-15.28383,35.90842,5.1687965,28.764746,24.1623,20.921923,-14.56648,19.918283,-0.58045053,16.614687,10.680178,14.680384,-10.522252,10.115192,-1.933194,10.423033,9.435532,8.71427,-0.24038374,11.24942,3.1729925,6.81517,-60.413605,17.817406
Ses03M_impro01_M004,0,0.013214769,0.021525605,0.016458692,0.013844519,0.2902097902097902,-0.0053463327276404,0.0237095284360886,0.143608279297901,-449.48575,53.102997,165.88155,33.10165,-33.45691,27.879284,2.140068,25.300549,10.607276,18.2685,-23.851423,17.560154,4.5584393,16.234571,6.2381034,10.198101,-12.469109,12.102383,-8.790628,12.356112,-8.224744,14.806993,2.8215532,12.174547,4.717772,12.06223,-58.00683,18.048635
Ses01M_impro01_M032,0,0.05897425,0.08812619,0.07335548,0.048728477,0.2231578947368421,-0.002822378746714,0.4875741966870623,4.546391763578885,-310.51532,58.481106,176.66148,34.62872,-46.8471,32.312286,4.382077,28.343002,34.429077,27.849228,-14.476227,17.430067,-5.231732,19.552713,1.7344134,10.494096,-9.282705,11.3737755,-6.1809726,11.934398,-8.667399,9.790034,-4.019302,9.263172,-2.173347,12.128953,-56.048576,19.383171
Ses03M_impro05b_M014,0,0.009540646,0.015019338,0.0121921925,0.008735871,0.2227979274611398,-0.0033558990253368,0.0123976981633749,0.1040702435628753,-460.7661,53.34726,189.40254,35.664097,-55.34338,28.188202,13.972788,26.46535,41.70247,24.901909,-21.469187,20.80711,-7.987268,18.750238,1.7094605,12.969465,-7.9544964,10.890289,-2.1824963,13.526876,-10.302362,13.134203,-4.914113,8.308706,1.6269152,11.21951,-53.475964,20.276752
Ses01F_impro05_F030,0,0.010866023,0.017926348,0.0137412315,0.011461311,0.3391608391608391,-0.0047747034841449,0.0161084371904921,0.1028618964750613,-466.3827,58.204155,202.5373,39.513943,-14.094741,24.516104,8.668197,20.7553,20.549593,12.896919,-15.266856,14.760645,5.6886992,14.973081,3.6529849,10.275068,-14.709766,14.546995,-0.86320066,11.782806,2.4339345,7.7290983,2.3696012,7.5845175,7.2996783,8.280816,-55.357533,20.032146
Ses05M_script02_2_M025,0,0.03296439,0.062262163,0.041128986,0.04672656,0.3597745990463806,-0.0065637000261631,0.1437755247581703,8.907229127436313,-360.38477,79.15937,135.29892,45.355408,-18.95075,39.889706,12.298157,24.934355,24.521044,23.749847,-11.272759,24.149427,-1.4540207,16.866196,0.39704156,12.1854515,-9.345535,13.080823,-3.3388686,13.614203,-6.263006,10.574825,-3.8988676,10.476733,1.424978,11.829915,-62.644512,16.750961
Ses05M_script03_2_M031,0,0.015441576,0.029839756,0.019578986,0.022488307,0.4808917197452229,-0.0070902469815337,0.0314077470562188,0.2413996969128823,-448.16556,82.91826,151.61911,44.88574,-6.209935,37.302967,11.012954,17.777613,30.758179,19.180336,-1.8372806,14.93935,-1.1666852,13.602773,2.134401,10.264553,-8.386365,16.41317,-5.4686227,13.568555,-3.0131822,9.9019985,-0.46000195,7.8872995,4.154527,10.65776,-62.13912,17.319664
Ses02F_script01_1_M021,0,0.010775679,0.016437897,0.013641482,0.0091292765,0.1742738589211618,-0.0066500510911282,0.0161757390767966,0.0801513886655585,-461.9092,51.452076,189.82378,37.47548,-36.26078,27.830889,25.58011,32.03581,31.664328,21.17947,-14.085291,15.90242,14.376314,18.85802,0.02154237,12.278545,-14.237597,11.930832,3.9875252,11.546981,-12.69586,9.533127,-7.86342,9.476201,7.609798,8.004409,-54.05626,19.877316
Ses05F_script03_2_F032,0,0.008106385,0.013491038,0.010203721,0.008811903,0.3636363636363636,-0.0077436134233721,0.0089093277771844,0.0414272264735113,-510.91437,71.84502,187.51846,40.801258,-23.207981,31.024246,6.6260705,23.812597,25.64368,12.758998,-15.412393,19.116667,3.526313,14.227879,8.8761425,9.047741,-10.83304,11.988106,0.83214295,8.745391,3.889332,13.833599,-3.4158177,6.391696,1.8291016,8.11155,-56.625664,19.653917
Ses05F_impro08_M004,0,0.014372941,0.023828268,0.018061057,0.015527876,0.2526455026455027,-0.0051925080697401,0.0279688939083162,0.4900554759083508,-418.2554,59.675533,160.36339,38.44829,-19.78631,32.56352,9.303848,29.047905,25.237545,21.703701,-8.726464,21.119871,2.5935042,17.046509,-1.3697765,13.268169,-14.100025,13.5392,-0.337061,13.381844,-0.7913729,10.8689785,-5.4288697,9.188884,-1.6476809,10.781936,-59.83785,17.449467
Ses05M_script01_1_M025,0,0.023198644,0.055879332,0.029811276,0.047260493,0.5977011494252874,-0.0164818975463276,0.0670305083305719,0.4028017233318919,-404.18787,100.80786,128.99686,55.34868,-6.969228,43.35246,4.321256,21.72773,13.53574,13.061111,-8.943249,22.152103,-1.0370294,11.4693775,-1.8815485,10.664387,-6.9970922,11.771778,2.1517847,11.288742,0.03544827,9.250144,1.4074703,9.804507,7.7591376,7.598139,-64.605415,16.817554
Ses04M_script01_2_F011,0,0.010507792,0.017397601,0.013105879,0.011427128,0.2710951526032316,-0.0064978726186382,0.0150267379103868,0.1806311030679566,-477.70752,63.466408,177.16476,36.424732,-22.97522,38.87764,6.8937206,25.966238,25.405058,22.158842,-9.724865,19.233576,6.2825937,16.68036,3.4487813,14.026378,-15.088886,13.595874,-2.3174021,11.331936,-0.488581,9.463631,-4.651426,7.6666913,1.8426654,9.121655,-57.757442,18.9252
Ses01F_impro04_F028,0,0.008261003,0.014276435,0.0105820885,0.0095270295,0.396551724137931,-0.0043426516640465,0.0090474462134049,0.0447834781713742,-484.76337,48.84705,194.33736,37.020836,-39.3263,23.878365,23.4364,22.463015,35.20048,20.903618,-14.214221,15.159193,12.24061,15.77204,0.6124294,11.369015,-17.860155,9.914356,5.0557284,11.299209,-1.1764044,8.719923,-1.7377856,6.9767365,10.239416,9.20172,-53.47193,19.746838
Ses05F_script01_2_M017,0,0.021879015,0.04504691,0.027428739,0.035706975,0.5202863961813843,-0.01040433653543,0.062628032838208,0.676756812888542,-427.1736,98.001884,131.04324,56.85528,1.3569406,38.44941,4.2599435,20.248577,11.953163,18.223293,-7.9433146,22.969812,-1.2093997,12.714612,0.37814942,9.03598,-4.247118,11.701223,-0.1317784,9.746819,-4.261104,10.176302,-2.4446023,7.5921416,4.427151,8.489673,-65.089714,16.834902
Ses05M_script01_1_M033,0,0.0043515894,0.008554217,0.005447807,0.006592376,0.6416040100250626,-0.008216480637202,0.0023930420836978,0.0334193709633328,-570.01764,61.94411,175.65337,28.77522,0.2092507,25.550781,18.409515,17.665771,26.757132,11.603371,-6.428357,13.263991,6.469919,10.571462,3.6056938,8.072834,-9.387195,9.994163,2.636773,7.02471,0.72444093,7.966708,-0.5798049,4.7762365,10.239989,6.2218876,-59.394318,17.758678
Ses02M_script01_1_M013,0,0.012161721,0.018109296,0.015191681,0.009816628,0.195067264573991,-0.0036857320537819,0.0208298368859238,0.1920691591133185,-463.88998,47.30467,176.7627,29.891031,-38.259853,30.585323,34.368576,26.195572,37.372623,19.930075,-9.930269,14.883774,15.580006,15.578462,-4.8026967,12.155479,-13.125267,9.203874,9.221955,11.734801,-13.448523,10.651076,-10.222136,10.083259,5.964654,9.425897,-54.89602,18.977285
Ses01F_script01_2_M017,0,0.04178757,0.09520155,0.052284356,0.07952114,0.6302816901408451,-0.011743230970751,0.222501162480706,4.002483833123906,-381.97287,109.58746,130.74675,56.505405,-8.092438,46.403225,2.479766,15.500223,15.163591,17.463564,-5.0088787,21.043776,1.2313018,11.994573,2.2122605,8.395612,-1.9389536,9.208776,0.48632523,8.460808,-4.628476,9.915198,-2.338333,8.830893,2.4439032,8.5547,-64.40336,17.424067
Ses04F_impro04_F030,0,0.03294044,0.07078522,0.041472107,0.057306718,0.49906191369606,-0.0040362838262808,0.1403489111311749,2.3695543593568957,-396.27887,107.50057,134.01811,52.81805,-19.470688,53.72026,-5.5589495,23.712614,8.802462,15.316019,-13.34593,21.092428,2.3248587,14.728323,7.1045647,13.502007,-6.4689627,12.326959,-4.4497313,10.150852,-4.3406854,7.1587467,-3.1664393,8.291255,2.3148046,8.385574,-63.393665,18.062458
Ses04M_script03_2_M043,0,0.011756903,0.020115454,0.014874441,0.0134773655,0.3796992481203007,-0.0070179630711209,0.0190455517123166,0.1457536960995207,-484.5917,99.141106,178.52707,48.243076,-23.373362,48.156456,11.237394,26.774982,31.748142,18.644442,-3.5467927,20.221624,5.6748486,17.93663,-0.8858862,11.515687,-12.697541,16.585299,-2.8867207,11.484275,-6.229515,15.113203,-1.258294,7.3128324,6.5968075,8.281334,-57.301514,20.534101
Ses05M_impro01_F023,0,0.008436037,0.014195569,0.010647867,0.009360376,0.289544235924933,-0.0056954486353788,0.0096204684152874,0.0680095886965778,-478.55215,58.79082,175.73416,31.728363,-28.402857,35.16091,0.52465266,24.312958,19.919712,15.444759,-19.875809,17.859573,2.5514061,14.280868,11.388128,14.269273,-11.534436,13.380588,1.5583804,10.094375,9.532161,10.944405,-4.88093,9.010446,-2.9267325,8.836284,-57.796455,18.603502
Ses04F_script03_2_F038,0,0.0043562287,0.011529319,0.0057168812,0.009996384,0.5833333333333334,-0.0128525343825458,0.002289624377202,0.0128681426157395,-518.77856,64.262794,166.26178,39.196022,-42.025246,29.382956,11.447396,27.259375,11.078452,10.757091,-24.65781,16.386566,19.936113,12.594401,13.760863,13.410995,-7.010191,10.29076,6.6124105,10.513853,-5.388338,5.9208794,0.46431574,6.5841317,15.935138,7.526353,-56.627026,17.881733
Ses05F_impro02_M014,0,0.008096257,0.013621858,0.01004178,0.009202166,0.3829201101928374,-0.0082733331510098,0.0088483092686852,0.0774406122037146,-488.6857,62.101456,164.03111,39.1185,-28.437992,33.42699,17.505579,26.524065,27.280045,13.134074,-14.631354,18.899906,7.585662,15.746972,2.3723347,12.052584,-14.479036,12.228074,3.11576,12.215589,0.18300417,9.649725,-3.4161024,10.401321,5.1392145,7.7569118,-58.22431,17.800129
Ses04M_impro05_M044,0,0.011579864,0.02471522,0.014471061,0.01999825,0.494949494949495,-0.0049357677198713,0.0177005176241597,0.1650883751494088,-470.97006,80.76347,140.04018,49.40422,-10.436603,39.2172,14.247847,28.61252,39.939735,24.649364,10.812539,17.777622,3.1680734,17.103907,-1.5792617,10.900406,-6.7172003,13.128591,-3.5498536,11.19714,-7.283511,14.267057,-2.6888394,8.419483,2.128718,9.398813,-63.00984,17.044321
Ses03F_script01_2_F013,0,0.008198542,0.016279105,0.010382946,0.012534392,0.4033149171270718,-0.0086970703705446,0.0087881857388411,0.172090547388135,-479.83304,78.35955,139.28441,40.56639,-20.61064,44.659187,6.692847,28.162569,21.031965,17.844126,-10.730508,17.80881,-0.16367488,18.289064,1.7235963,11.619756,-5.655139,11.195833,3.34896,10.867979,-0.52637345,10.594199,-3.490931,7.868491,0.84102607,7.691024,-62.252235,16.662586
Ses04F_script03_2_M007,0,0.010935628,0.018784504,0.013501492,0.013019542,0.4275862068965517,-0.0096402791314176,0.0162850322177832,0.0635041930203641,-488.9945,73.954544,169.52992,35.33066,-31.849346,36.85102,21.647568,24.333612,42.217766,21.651901,-15.559308,16.210932,-11.282685,11.599912,-1.025076,13.073141,-4.302594,11.922965,-1.7159604,7.037444,-13.730986,12.870134,-9.075812,7.8699713,3.5391097,7.2987113,-57.349346,18.972395
Ses02M_script03_2_M042,0,0.023348374,0.03563972,0.029807333,0.019526746,0.2060931899641577,-0.0031224888061842,0.0766897368354326,0.9030757008846876,-381.34656,62.57669,184.2828,33.120106,-42.02672,38.4016,23.278383,23.911118,21.307882,20.633707,-27.060297,22.92784,9.739974,16.033947,-0.18494418,13.33986,-14.42759,11.214091,1.0849878,11.731928,-16.826147,10.50669,-9.324381,10.723836,4.5227094,8.914306,-54.08704,19.872377
Ses04F_script03_2_F020,0,0.012810089,0.022528237,0.01625057,0.01552416,0.2864321608040201,-0.0048303563744411,0.0219116117790967,0.1143708047146648,-436.06555,60.13404,169.20921,38.949253,-25.756708,33.054256,6.4863195,31.107956,28.899982,16.608406,-7.3046384,14.513331,-2.6954796,22.270895,-3.9834716,9.231366,-8.464108,11.453961,0.25714284,11.981681,-7.1536527,9.545495,-3.686649,10.531431,4.6313725,8.178265,-58.425335,18.220322
Ses05M_script03_2_M044,0,0.08752774,0.12771997,0.10726214,0.06880633,0.1709844559585492,-0.0462850221083499,1.0648499384326044,7.846036262218777,-258.96643,55.924454,164.65494,26.792181,-62.543587,34.598988,1.375516,26.487661,33.46763,26.045305,-21.83241,20.271177,-8.293647,12.494597,-1.7067581,12.1554985,-18.429384,11.663217,-6.798932,11.333855,-5.262598,13.067111,-9.740861,10.363421,-4.195653,12.7647915,-56.191494,18.963203
Ses03M_impro05b_M020,0,0.0070745726,0.01316716,0.008944051,0.0096620675,0.347953216374269,-0.0049182008297066,0.0067387666787098,0.0581669099665725,-508.62424,74.26521,165.67123,41.4667,-28.344559,39.09919,28.55734,26.470594,30.234415,20.417248,-22.831097,22.487038,4.00214,21.05853,8.576293,11.3644905,-7.9896955,12.071762,-4.203374,14.431674,-10.209746,11.898936,-3.5011914,10.641295,1.4982048,9.28852,-57.49592,18.73016
Ses04F_script03_2_M039,0,0.01227088,0.021004988,0.015399294,0.014123865,0.3931623931623931,-0.0019044098280573,0.0203712591272019,0.0612910535674908,-446.22232,70.10898,173.77144,47.51206,-51.08989,29.048153,23.341825,29.37075,43.61177,16.432661,-8.982868,13.505501,4.4413548,20.740866,-5.032898,11.361084,-11.811337,12.216238,2.4557235,11.155982,-14.734298,11.92313,-7.7410336,10.561126,6.6064634,7.7795577,-54.66175,19.513481
Ses01M_script03_2_M034,0,0.0065400596,0.011105957,0.008098141,0.007593206,0.4285714285714285,-0.0030256103400461,0.0056910801526228,0.0387673840093394,-502.42215,46.3219,187.15198,29.305552,-20.452385,21.326643,26.097612,19.79801,30.651518,13.820746,-11.132062,12.933391,16.369991,13.411932,6.383402,5.420912,-11.899645,7.9947915,7.1551476,10.055536,-0.74431634,7.7295055,-3.8655813,5.578635,8.744715,7.9910693,-55.79876,18.527067
