,Unnamed: 0,wav_file,time_gap,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
10,20,Ses01M_impro01_F020,3.3299999999999983,0,0.06457472,0.13069513,0.07920802,0.10390661,0.445993031358885,-0.0720161115168593,0.5462283073536354,4.259038440885727,-307.58582,113.759636,146.3225,55.79124,-28.19282,50.519665,9.49058,23.173332,14.847871,20.429003,-15.289017,23.021317,9.051176,13.59961,4.5873804,9.072328,-7.2361317,10.394017,1.5751182,9.646758,-4.791118,10.750947,0.46403158,8.041208,5.4539824,8.74112
11,21,Ses01M_impro01_F021,4.9125000000000085,0,0.076971,0.14237654,0.09388368,0.10684193,0.410377358490566,0.1583645935170352,0.7698805266542901,8.890108391582405,-282.16083,68.184944,155.84386,34.59923,-34.314133,37.63269,-3.1892867,22.896029,15.234798,18.009743,-15.361208,20.847925,1.9979812,12.121979,4.1686635,12.410969,-8.067531,10.958269,-2.953163,10.501106,-5.3294353,10.6767845,-3.3760102,9.20487,-0.5462962,11.211098
12,22,Ses01M_impro01_F022,10.689999999999998,0,0.112152204,0.18763338,0.137691,0.12742324,0.3311617806731813,-0.2809048455674201,1.693563303907039,34.925627736092224,-251.5671,93.985374,159.45634,41.8631,-46.71651,50.900917,-1.0406555,22.323112,19.111715,19.313198,-16.881432,21.322018,-1.4299681,16.264538,-3.4282873,11.954608,-10.1728525,10.860798,-0.7263479,11.276369,-7.2888684,11.338569,-4.389381,11.311811,-1.3294406,10.273568
13,24,Ses01M_impro01_F024,3.7125000000000057,2,0.022685455,0.041615576,0.028707763,0.030106843,0.4125,-0.0044820039875048,0.0687477071831027,0.4545747599466702,-396.23764,75.7826,177.16113,43.302242,-24.022045,36.26992,-5.3896255,21.556906,22.57919,18.881557,-10.207452,17.1117,-1.0109015,11.833972,5.809476,12.467601,-9.41837,10.831157,-2.0373116,9.150516,4.166946,7.817673,-2.008679,8.398735,-2.336946,11.167053
14,25,Ses01M_impro01_F025,3.430000000000007,2,0.016989699,0.029621352,0.021192497,0.020654736,0.4054054054054054,-0.0108462445496115,0.0392561299784477,0.2814734703977931,-418.51794,63.67812,161.52328,34.680725,-9.805234,31.480759,11.576235,17.129156,26.798851,17.592167,-7.0807786,12.7373705,2.2463741,15.470427,4.493076,9.689959,-6.6045766,9.673656,1.5807047,8.845178,-0.961511,8.069329,-4.8041487,9.252009,3.1825593,8.711129
15,31,Ses01M_impro01_M000,3.059199999999999,1,0.021463925,0.038958896,0.02704403,0.027990807,0.3712121212121212,0.0027638532174023,0.0614834134706414,0.3834169675633964,-373.69464,58.877617,172.60823,34.4129,-28.118807,31.77441,5.3828206,16.877073,27.161448,16.1818,-8.836496,16.861912,4.8581853,12.741765,1.868657,11.746666,-13.986123,11.606699,-0.28862277,11.163996,-0.76883495,7.2822266,-3.886456,8.818649,5.266896,10.35464
16,32,Ses01M_impro01_M001,2.4499999999999993,1,0.019695273,0.033958916,0.024159864,0.023752907,0.4245283018867924,-0.0076399091994971,0.0530782652555118,0.2916145282743655,-413.3509,48.542652,170.04498,44.04786,-9.307316,23.871964,15.317997,26.316004,20.868471,14.382568,-13.505542,13.188911,5.84441,19.334038,3.9716506,10.523985,-9.14195,9.963797,3.791491,10.063469,-0.976712,6.893558,-3.9817452,7.0734544,6.4774065,8.33076
17,33,Ses01M_impro01_M002,3.109999999999999,1,0.03243515,0.0540303,0.0408706,0.034967903,0.2649253731343283,-0.0003323848147829,0.1455890286218847,0.8687665984778086,-364.3693,63.92701,190.37202,39.93563,-38.87123,30.393652,6.9523587,24.610428,33.702576,17.825344,-9.051454,13.90696,6.218307,14.323985,3.6858292,10.221851,-15.811627,13.140089,-5.2811975,10.046676,-3.4464507,7.6657095,-1.734792,8.735759,3.2698674,10.932768
18,34,Ses01M_impro01_M003,2.4800000000000004,2,0.0047380826,0.008445961,0.0058906814,0.0058986414,0.2429906542056074,-0.0126473287309636,0.0029763187892292,0.0202388298778983,-489.83682,44.793644,176.7857,25.66974,-31.700005,23.884893,23.493597,17.093231,26.733084,8.316045,-12.160716,10.420676,19.662132,11.955582,5.0768023,7.2230563,-10.30031,7.453185,12.654504,9.0727,0.016946811,6.9136734,-2.0188162,5.084506,11.572773,5.7450314
19,36,Ses01M_impro01_M005,3.129999999999999,1,0.009274952,0.016376114,0.011587429,0.011548931,0.4111111111111111,-0.0081909574873861,0.0115468747014627,0.0800188505732948,-464.3372,55.76885,187.67142,36.72653,-20.826881,25.405823,13.041542,20.67034,27.59367,16.678917,-8.020182,11.780869,11.11345,13.059955,5.954837,7.6058254,-9.019998,7.3149676,3.7450368,8.982847,-1.957997,9.281207,-2.54822,5.765208,7.7243147,6.824749
20,37,Ses01M_impro01_M006,8.759999999999998,1,0.024023244,0.044275373,0.030102888,0.032435372,0.2860927152317881,-0.0039954275052878,0.078251124763226,1.5203286610440223,-376.59387,65.38017,162.79703,39.127,-8.51995,33.15157,7.7282944,24.0346,26.415472,20.723469,-3.2779603,18.478249,1.8392234,15.832322,2.755686,9.478525,-7.4567766,10.653148,-2.4888148,10.466868,-3.7143679,8.963432,-4.711799,8.449519,-0.13571757,9.16398
21,38,Ses01M_impro01_M007,1.9400000000000048,1,0.013215736,0.021979144,0.016403409,0.014539341,0.3869047619047619,-0.0002504433211925,0.0235546752541801,0.091881631991984,-437.94867,57.14802,197.08987,36.86669,-25.899015,22.063877,5.2799616,18.387466,27.500906,13.180442,-3.5470014,13.035212,10.505663,9.639347,0.95402825,9.82189,-10.819102,10.659311,3.7610264,10.715327,-1.555657,7.568076,-0.11063658,6.946867,6.8908625,7.560559
22,39,Ses01M_impro01_M008,1.1000000000000014,1,0.039441273,0.063209996,0.05028843,0.03786812,0.3368421052631579,0.0015441560208273,0.2128022898418227,0.5139869837990855,-345.46448,61.408085,179.62407,28.362165,-47.276695,29.730827,22.748045,14.98843,40.812138,19.69421,-14.6062,14.179762,4.6890044,17.620626,-1.3147501,8.235912,-18.080038,9.544606,-0.8695563,10.799226,-8.437621,8.285234,-12.37708,8.539219,-1.0024935,8.224722
23,40,Ses01M_impro01_M009,5.310000000000002,1,0.031939235,0.050248504,0.03937452,0.031161496,0.2860262008733624,-0.0031030451737024,0.1429177701398354,1.4251864851712923,-380.22394,67.7431,188.45346,39.275234,-25.638514,31.443365,8.403806,23.836372,36.348186,23.28682,-5.06867,16.562408,-1.8776029,16.895603,0.3435044,10.026675,-8.817743,10.828496,-4.3951807,11.651565,-5.307922,9.763694,-0.8422777,8.126882,0.9926441,10.58234
24,41,Ses01M_impro01_M010,2.219999999999999,2,0.011407669,0.027395194,0.014106262,0.02341879,0.6510416666666666,-0.0090910871222149,0.015833786018346,0.1131897308803669,-464.61026,68.09507,158.91304,42.721607,5.600094,22.002844,1.847888,13.683232,16.066221,7.7296667,-1.6109816,10.530524,4.8016076,8.642497,8.190591,5.9038296,1.0538322,6.8395815,2.410281,7.219645,0.602639,11.736177,1.74286,5.3146453,7.3138423,6.141054
25,42,Ses01M_impro01_M011,4.490000000000002,1,0.032878295,0.06275233,0.041021463,0.047337573,0.3126614987080103,-0.0182545627467334,0.1450331006382997,1.625892628365072,-349.5941,61.344242,158.20116,35.364655,-0.33988035,36.661186,-0.90172946,24.228773,19.5615,18.84351,-2.174154,14.493058,-5.473006,15.413305,-2.6882067,8.6295395,-5.657019,11.243582,-5.0022244,11.36176,-6.872272,8.887643,-3.9413128,8.458711,0.09059573,8.779023
26,43,Ses01M_impro01_M012,3.25,1,0.030156111,0.050953217,0.037757248,0.034200404,0.3571428571428571,-0.0031043941817188,0.1238012338691358,0.7974072163310395,-364.5081,58.832417,190.99207,41.43951,-31.942118,31.637444,-6.5210657,25.443718,28.636871,17.288353,-4.280802,15.634292,-1.9117955,17.734978,0.78635293,10.692115,-6.1700177,11.210741,-5.0113654,11.39823,-10.469131,11.750471,-2.0277824,8.540317,6.139295,11.339409
27,44,Ses01M_impro01_M013,3.1925000000000097,1,0.009709305,0.019388467,0.012077036,0.015166362,0.5781818181818181,-0.0039487481444666,0.0120107986658456,0.1010941778990958,-471.61383,62.105614,170.41719,35.896954,-7.312935,29.329556,10.446046,14.404179,25.654911,11.074466,-4.85168,13.633319,3.590869,11.126056,2.9829512,10.0522375,-5.234527,9.961818,3.8649728,8.692184,0.38025442,8.812064,-0.06250788,5.0365667,6.3822513,5.639215
28,46,Ses01M_impro01_M015,1.8700000000000043,1,0.03422107,0.064645715,0.042190704,0.048734214,0.5432098765432098,-0.0062553494899475,0.1560438208539568,0.6747726251577936,-397.90973,101.3266,179.72395,57.862534,-25.81597,37.925484,-2.5866175,21.172869,19.400408,13.015524,-13.666402,16.693825,-0.13938598,12.996593,7.8328776,10.53864,-2.364182,11.761758,-2.3309631,8.585894,-5.6768107,11.065008,-1.2226362,8.333575,2.7908409,9.445537
29,47,Ses01M_impro01_M016,2.109999999999999,1,0.0042159995,0.006321479,0.005244434,0.00349896,0.0219780219780219,-0.0073748005888774,0.0024773401897479,0.0103773483590419,-485.11282,41.158463,185.79477,16.892567,-50.91723,28.0407,30.992788,13.02275,31.533215,9.098573,-21.903347,11.176854,18.719187,11.417211,4.8251867,8.792108,-11.472891,7.8090134,15.128831,7.8590913,-0.60207963,7.565623,-1.3771129,5.8481116,14.021282,5.7787685
30,48,Ses01M_impro01_M017,2.730000000000004,1,0.024777247,0.042820536,0.030723695,0.029715268,0.4110169491525424,-0.0096306821433245,0.0837995285773241,0.469216974004763,-413.00314,77.40638,178.52469,43.98231,-22.198917,31.876417,11.560326,23.698046,35.077198,26.073887,-8.02487,18.532795,-1.8939937,13.276186,5.811028,9.763622,-1.5025992,8.702847,1.0581275,9.947085,-3.7925158,9.811079,-0.9607064,8.658969,3.7529523,10.112845
31,49,Ses01M_impro01_M018,5.670000000000002,1,0.048129827,0.08153349,0.06025583,0.054848365,0.2822085889570552,-0.0020013414996356,0.3147684185003474,3.489597771668659,-332.16302,65.68476,168.39842,43.107994,-20.769545,32.01685,0.34942597,28.82008,19.603218,21.345573,-13.383111,18.704346,-3.552234,18.637611,4.0890203,12.020988,-2.0723915,14.171023,-1.7028201,12.89713,-8.037072,10.773824,-3.073926,10.052513,2.8877697,9.913162
32,50,Ses01M_impro01_M019,2.910000000000011,1,0.053117014,0.09341754,0.066551894,0.06540952,0.3665338645418327,-0.008358510058315,0.3812712314495441,2.5298119641123193,-319.5537,71.088234,167.68274,43.917164,-31.694794,28.918297,3.8388205,20.867231,17.161043,16.66085,-16.670797,17.075033,3.221027,16.544912,0.6471721,8.599703,-9.596673,11.307717,0.13879807,10.068477,-8.691051,8.847937,-4.6801705,9.0834465,4.799589,6.8332553
33,51,Ses01M_impro01_M020,3.620000000000005,0,0.13018303,0.20760216,0.15997058,0.13217872,0.25,0.2216449647676199,2.3085088214989296,14.784427581035263,-219.57468,64.27688,167.41089,28.639093,-53.81722,33.009403,8.908407,24.230856,24.237309,23.67631,-26.505552,20.99427,-4.2730656,15.4521475,-1.9676471,12.51825,-13.420711,12.329077,-5.019687,10.55324,-12.024921,11.286506,-6.905959,8.704962,-1.4358698,9.386394
34,53,Ses01M_impro01_M022,1.3700000000000043,1,0.10408099,0.19247633,0.12172224,0.14777513,0.5714285714285714,0.324546912452206,1.4355431000068946,6.398484542739317,-294.13724,102.5094,131.8804,45.29406,-43.905373,47.87305,6.6901264,20.13625,17.845303,13.844722,-17.897524,21.381968,3.836116,9.112773,2.1394646,12.894666,-7.9476094,11.604143,0.84214383,6.8732047,-6.1723957,11.293664,-3.113589,7.9126797,2.7305422,7.256905
35,54,Ses01M_impro01_M023,2.530000000000001,1,0.06782466,0.11776344,0.08441381,0.0820103,0.2935779816513761,0.1639861438889056,0.6124282265249644,4.1417466193263515,-284.73904,46.616497,173.94766,25.543549,-42.523743,29.345041,-3.1883411,25.58134,20.526472,18.333595,-14.049092,18.806345,3.975358,14.725627,3.6204484,10.672806,-11.085519,10.514653,-4.4422064,11.459919,-6.6561413,10.056307,-4.314833,10.641884,-1.6629373,11.968111
36,56,Ses01M_impro01_M025,3.345000000000013,0,0.1721456,0.2563581,0.20887978,0.1477231,0.2768166089965398,-0.8858449291437864,4.2097794739201735,22.627819734067987,-206.99763,100.02297,170.26273,44.593334,-74.281166,44.816875,-2.6260128,17.936043,17.416023,12.641164,-27.394161,20.53937,-2.5482945,14.823534,-6.38348,13.489277,-11.504675,10.110087,0.31353924,10.800061,-10.698057,11.239771,-0.54898703,8.289551,4.1825643,8.805133
37,57,Ses01M_impro01_M026,6.730000000000004,1,0.014319179,0.027513878,0.018015398,0.020781064,0.4206896551724138,-0.0007236710644065,0.0271647776981812,0.5587163796352872,-426.15237,64.01226,173.9568,36.831245,-15.810806,30.43121,14.670888,18.382063,26.931105,16.956554,-8.733086,15.693828,7.590918,11.864151,5.3186164,11.326326,-7.7482624,8.963962,3.293869,8.810839,-1.1118908,7.443441,-2.3669012,7.1277137,5.252189,7.0595737
38,58,Ses01M_impro01_M027,3.4650000000000034,1,0.020634612,0.035056286,0.025780756,0.023706855,0.2876254180602006,-0.0072335947152168,0.0582902292455746,0.3936861342368472,-384.22998,57.04872,169.88268,37.333042,-11.911972,26.457241,4.9516644,20.965221,27.803,20.30254,-4.769418,15.223893,-0.9159116,13.047392,4.1766896,12.421427,-6.154211,8.469484,-3.9752247,10.852564,-2.8931665,8.963183,-0.85436326,8.385524,0.9893025,9.9729595
39,59,Ses01M_impro01_M028,2.3999999999999773,1,0.01720326,0.031121083,0.02142744,0.022536382,0.4444444444444444,-0.0023653262815059,0.0397402620284227,0.2447173063743501,-414.60684,66.57438,160.33357,38.843727,-18.264408,32.951458,10.59542,19.746847,28.090677,18.988726,-9.770473,12.561213,-0.68046445,17.015114,3.565793,9.970501,-5.1671534,8.579566,3.3888826,7.353246,0.22282778,7.7840133,-2.3094237,8.373496,4.981801,8.657308
40,61,Ses01M_impro01_M030,1.1200000000000043,0,0.052834995,0.0947806,0.0654021,0.068010524,0.4329896907216495,-0.0118340749395429,0.3844147229644046,1.0021888434726065,-367.50394,103.177086,173.93124,54.541767,-15.928208,45.905827,-6.4434066,25.572578,13.773357,20.452768,-13.863565,19.216486,-11.093317,13.346064,-3.9488199,9.40986,1.1716287,10.019437,5.648197,7.836649,-4.0655484,11.166553,-1.5849514,6.177425,2.7163393,10.011403
41,62,Ses01M_impro01_M031,2.6699999999999875,0,0.050289217,0.08412628,0.06202264,0.05682386,0.3391304347826087,-0.004296342467569,0.3505202952279599,1.6978931178370325,-332.85217,76.6035,159.15642,42.620956,-29.51063,41.731377,3.9308236,28.02805,27.871786,21.901981,-11.592549,16.990288,-7.464651,19.44305,-0.66929376,11.053966,-4.699555,12.794496,-1.2725403,11.063339,-5.5133195,9.667449,-3.5807219,9.149618,-3.4948592,11.014347
42,63,Ses01M_impro01_M032,5.510000000000019,0,0.05897425,0.08812619,0.07335548,0.048728477,0.2231578947368421,-0.002822378746714,0.4875741966870623,4.546391763578885,-310.51532,58.481106,176.66148,34.62872,-46.8471,32.312286,4.382077,28.343002,34.429077,27.849228,-14.476227,17.430067,-5.231732,19.552713,1.7344134,10.494096,-9.282705,11.3737755,-6.1809726,11.934398,-8.667399,9.790034,-4.019302,9.263172,-2.173347,12.128953
43,64,Ses01M_impro01_M033,5.032499999999999,1,0.06713863,0.09843455,0.08305489,0.05257988,0.140552995391705,-0.026180910936091,0.6333877074132445,5.952296146320339,-287.70337,39.45141,190.416,27.85024,-37.928318,23.01119,4.1811924,26.64995,26.779045,21.352053,-19.168661,23.018002,-3.2286332,16.880266,1.9822394,12.772692,-13.239394,12.407413,-7.9964952,14.286328,-8.950768,10.732255,-6.6246986,9.97867,-4.578292,12.270547
44,65,Ses01M_impro02_F000,3.3963,2,0.0034130025,0.0057880147,0.0042801867,0.0038862678,0.0068259385665529,-0.0045249307731864,0.0015814415684196,0.0114542376223524,-530.4445,32.203415,187.70811,14.241445,-29.452099,21.739223,21.048916,6.9271,31.490454,7.5165896,-14.304309,7.6160026,11.174178,5.6967483,7.8601885,5.0716424,-4.960242,7.4787345,12.625498,5.173674,1.1661919,7.283462,-0.06393925,3.5177438,13.577735,7.191108
45,67,Ses01M_impro02_F002,3.109999999999999,2,0.012547588,0.028080864,0.015525071,0.023390811,0.6753731343283582,-0.0096003268481581,0.0194225133783364,0.1902654333902627,-458.66336,78.15715,150.94298,29.350689,-12.906817,44.54171,7.2332835,15.278813,23.393356,11.84141,-6.540239,17.067883,0.8127449,11.203462,3.9861755,8.859872,-1.3429415,10.999084,5.215008,5.715062,-0.45521888,12.385662,-3.6150327,9.549468,2.5065148,9.809344
46,68,Ses01M_impro02_F003,3.200000000000003,1,0.00725629,0.022427937,0.008996084,0.020527678,0.7427536231884058,-0.0100612014648504,0.0061443515217519,0.0728404661184797,-472.00977,61.45769,141.01729,27.760073,-0.36507428,36.097363,-3.011594,14.33409,14.850385,5.3452363,-0.57779825,11.704456,6.4069877,7.3163905,10.254869,6.8679676,-1.3472897,6.9639626,2.3801785,8.058167,6.495649,7.0386386,1.8032713,4.4850836,3.2521348,4.4617105
47,69,Ses01M_impro02_F004,2.272500000000001,1,0.016901549,0.032648914,0.021429684,0.024601405,0.4897959183673469,-0.0038355688047886,0.0364818518733178,0.1966715120419189,-425.75183,71.11465,170.74141,36.994713,-18.251944,33.681854,1.4457022,16.74538,21.843191,9.494171,-8.06657,12.837287,1.2153416,11.998408,1.578792,11.166332,-6.4266415,10.787028,5.6849513,6.803934,2.708126,8.323592,-4.427915,9.062762,-0.692113,9.893997
48,70,Ses01M_impro02_F005,3.325000000000003,1,0.021990983,0.04030427,0.027571794,0.029339394,0.4738675958188153,-0.0093697290139971,0.0638485643526607,0.3932953756845222,-416.26486,66.0911,168.48355,41.311764,-17.810772,31.229795,13.95425,23.998053,26.377514,18.06681,-9.381107,13.433357,7.526774,13.010393,4.826833,9.863675,-9.059028,10.643235,4.9061,11.748453,0.50390464,8.300008,-8.913079,10.227039,-3.8726764,11.696656
49,71,Ses01M_impro02_F006,1.5,1,0.010674548,0.014852298,0.013308497,0.0064062853,0.0692307692307692,0.0017245205299332,0.016437970641417,0.047440383956591,-447.40048,44.571434,236.89574,25.425234,-53.141804,36.002605,23.014738,17.061396,21.240625,11.181677,-24.822937,12.79787,27.513142,16.380697,2.607829,8.467835,-20.021347,9.952145,11.877748,9.176284,-5.2935586,8.251694,-5.050301,8.490714,10.626116,7.9988537
50,72,Ses01M_impro02_F007,3.1300000000000026,1,0.008270728,0.019474063,0.010681915,0.016264763,0.5777777777777777,-0.0170438033819664,0.008408503036879,0.0813603267600135,-462.9486,58.6672,182.57103,33.679672,-38.16466,30.35542,8.991137,14.609696,26.67785,9.585786,-10.298723,10.857917,14.427265,9.828153,5.593969,9.356118,-11.048253,9.820238,8.285676,8.439062,0.9220422,7.4076123,-2.9894264,6.446162,8.3390665,6.7667017
51,73,Ses01M_impro02_F008,1.2650000000000006,1,0.0022173196,0.002831199,0.0027509679,0.0006200827,0.0,-0.012542769582069,0.0007296288990078,0.0020695830495826,-584.31915,25.502161,243.79416,9.194914,-63.890415,19.150335,27.76498,8.509551,30.340658,4.2543874,-23.82798,5.6222663,29.705736,8.30822,6.3008657,5.173228,-15.193406,6.4849906,19.327776,5.0137734,0.39791563,4.06339,-1.5327989,3.4577658,12.520069,3.3302443
52,74,Ses01M_impro02_F009,3.299999999999997,2,0.005198163,0.009919801,0.0063822395,0.007575464,0.3192982456140351,-0.0074195791057718,0.0034649176245832,0.0271228669548255,-519.10474,37.557465,175.59729,23.703035,-3.1530488,16.660042,12.394197,13.855102,25.354342,9.024488,-5.5253196,7.8997774,9.227023,8.922843,10.135842,5.7198744,-4.898219,6.577603,5.7497396,6.8138185,4.4625707,5.704307,-1.2703264,4.730023,7.087522,5.691007
53,75,Ses01M_impro02_F010,3.260000000000005,2,0.0062031266,0.013438265,0.007816354,0.010924793,0.6156583629893239,-0.0085969686551834,0.0047774336974824,0.0453229592441706,-513.20416,41.75109,171.07016,26.95085,0.93388957,15.4810915,8.061942,11.412273,25.183014,8.239187,-2.6636956,7.245766,6.896586,5.1366677,10.996033,5.719271,-4.8124523,8.383768,1.4750069,7.9157705,4.5917935,5.8659334,-0.91708994,5.5886145,4.776083,4.997399
54,78,Ses01M_impro02_F013,4.060000000000002,2,0.0043877847,0.010075127,0.005550844,0.008402629,0.2942857142857142,-0.008781734322838,0.0024281419170219,0.0284406298329169,-522.1394,32.36408,165.43536,19.552294,0.3827928,13.111866,10.709778,11.192174,22.308002,7.9139404,-4.892326,5.8952465,8.323719,6.44886,9.994831,5.6008277,-3.480747,7.095779,5.1808853,6.6056447,3.8778684,5.716113,-1.6041279,5.786307,5.7123523,6.765099
55,80,Ses01M_impro02_F015,2.690000000000026,2,0.0032554443,0.0050796554,0.003961116,0.0031735532,0.0086206896551724,-0.0130403368530096,0.0014525659795475,0.007868274025831,-558.00104,20.98861,199.1007,14.180117,-20.774355,10.029143,20.707117,8.874247,27.926033,6.566629,-12.884844,5.4641294,15.7903,7.3782225,9.681384,5.022032,-7.129739,5.521001,11.22656,5.626264,2.252134,5.57953,-0.8862256,5.3266797,11.331196,4.250552
56,82,Ses01M_impro02_F017,4.939999999999998,2,0.0062693493,0.011003772,0.007606187,0.0079411175,0.5187793427230047,-0.0107128580566495,0.0051178897040263,0.0608626729324996,-524.05164,29.860762,180.23174,21.586132,-2.817418,11.8126545,11.396884,9.265113,26.292288,7.426683,-4.791285,7.375242,9.1433325,4.7781506,11.215236,5.797042,-4.3939524,5.5103245,4.68913,6.713118,3.5204556,6.4901557,-1.8037264,6.655194,6.5785656,5.7122374
